PROJ_ID	PROJ_NAME	PROGRAM	PPL	SPONSOR	PROJ_TYPE	STATUS	BASIN	YEAR	ACRES	URL	GOOGLE
AT-0003	Big Island Mining	CWPPRA	2	NMFS	MC	Constructed	AT	1992	2766.18036036	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=AT-0003")	=HYPERLINK("https://www.google.com/search?q=Big Island Mining site%3Alacoast.gov")
BA-0002	GIWW (Gulf Intracoastal Waterway) to Clovelly Hydrologic Restoration	CWPPRA	1	NRCS	HR	Constructed	BA	1991	14840.3454379	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0002")	=HYPERLINK("https://www.google.com/search?q=GIWW (Gulf Intracoastal Waterway) to Clovelly Hydrologic Restoration site%3Alacoast.gov")
TV-0009	Boston Canal/Vermilion Bay Bank Protection	CWPPRA	2	NRCS	SP	Constructed	TV	1992	193.392569301	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0009")	=HYPERLINK("https://www.google.com/search?q=Boston Canal/Vermilion Bay Bank Protection site%3Alacoast.gov")
TV-0013-A	Oaks/Avery Canal Hydrologic Restoration, Increment 1	CWPPRA	6	NRCS	HR	Constructed	TV	1996	2883.82905475	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0013-A")	=HYPERLINK("https://www.google.com/search?q=Oaks/Avery Canal Hydrologic Restoration, Increment 1 site%3Alacoast.gov")
TV-0012	Little Vermilion Bay Sediment Trapping	CWPPRA	5	NMFS	TE	Constructed	TV	1995	1104.48549998	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0012")	=HYPERLINK("https://www.google.com/search?q=Little Vermilion Bay Sediment Trapping site%3Alacoast.gov")
MR-0010	Dustpan Maintenance Dredging Operation for Marsh Creation in the Mississippi River Delta Demonstration	CWPPRA	6	USACE	MC	Constructed	MR	1996	676.921611386	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0010")	=HYPERLINK("https://www.google.com/search?q=Dustpan Maintenance Dredging Operation for Marsh Creation in the Mississippi River Delta Demonstration site%3Alacoast.gov")
MR-0003	West Bay Sediment Diversion	CWPPRA	1	USACE	SD	Constructed	MR	1991	12293.7099342	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0003")	=HYPERLINK("https://www.google.com/search?q=West Bay Sediment Diversion site%3Alacoast.gov")
TV-0013-B	Oaks/Avery Structures	STATE	9999	CPRA	SP	Constructed	TV	2000	5219.48544444	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0013-B")	=HYPERLINK("https://www.google.com/search?q=Oaks/Avery Structures site%3Alacoast.gov")
TV-0064	Cheniere au Tigre	STATE	9999	CPRA	SP	Constructed	TV	2005	105.1822898	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0064")	=HYPERLINK("https://www.google.com/search?q=Cheniere au Tigre site%3Alacoast.gov")
BA-0001	Davis Pond Freshwater Diversion	WRDA	9999	USACE	FD	Constructed	BA	2001	911123.512772	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0001")	=HYPERLINK("https://www.google.com/search?q=Davis Pond Freshwater Diversion site%3Alacoast.gov")
BS-0008	Caernarvon Freshwater Diversion	WRDA	9999	USACE	FD	Constructed	BS	1991	507135.581275	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BS-0008")	=HYPERLINK("https://www.google.com/search?q=Caernarvon Freshwater Diversion site%3Alacoast.gov")
ME-0018	Rockefeller Refuge Gulf Shoreline Stabilization	CWPPRA	10	NMFS	SP	Not Constructed	ME	2000	410.963085108	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=ME-0018")	=HYPERLINK("https://www.google.com/search?q=Rockefeller Refuge Gulf Shoreline Stabilization site%3Alacoast.gov")
PO-0030	Lake Borgne Shoreline Protection	CWPPRA	10	EPA	SP	Constructed	PO	2000	250.299733969	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=PO-0030")	=HYPERLINK("https://www.google.com/search?q=Lake Borgne Shoreline Protection site%3Alacoast.gov")
PO-0030	Lake Borgne Shoreline Protection	CWPPRA	10	EPA	SP	Constructed	PO	2000	84.7492849127	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=PO-0030")	=HYPERLINK("https://www.google.com/search?q=Lake Borgne Shoreline Protection site%3Alacoast.gov")
TV-0011-B-EB	Freshwater Bayou Bank Stabilization (CIAP)	CIAP	9999	USFWS	SP	Constructed	TV	2004	83.5501802613	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0011-B-EB")	=HYPERLINK("https://www.google.com/search?q=Freshwater Bayou Bank Stabilization (CIAP) site%3Alacoast.gov")
TV-0011-B-EB	Freshwater Bayou Bank Stabilization (CIAP)	CIAP	9999	USFWS	SP	Constructed	TV	2004	114.692031733	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0011-B-EB")	=HYPERLINK("https://www.google.com/search?q=Freshwater Bayou Bank Stabilization (CIAP) site%3Alacoast.gov")
MR-0009	Delta Wide Crevasses	CWPPRA	6	NMFS	SD	Constructed	MR	1996	160532.776013	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0009")	=HYPERLINK("https://www.google.com/search?q=Delta Wide Crevasses site%3Alacoast.gov")
BA-0027-C	Barataria Basin Landbridge Shoreline Protection, Phase 3	CWPPRA	9	NRCS	SP	Not Constructed	BA	1999	1163.00639514	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0027-C")	=HYPERLINK("https://www.google.com/search?q=Barataria Basin Landbridge Shoreline Protection, Phase 3 site%3Alacoast.gov")
BA-0027-C	Barataria Basin Landbridge Shoreline Protection, Phase 3	CWPPRA	9	NRCS	SP	Not Constructed	BA	1999	1454.15453535	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0027-C")	=HYPERLINK("https://www.google.com/search?q=Barataria Basin Landbridge Shoreline Protection, Phase 3 site%3Alacoast.gov")
BS-0011	Delta Management at Fort St. Philip	CWPPRA	10	USFWS	TE	Constructed	BS	2000	855.689698648	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BS-0011")	=HYPERLINK("https://www.google.com/search?q=Delta Management at Fort St. Philip site%3Alacoast.gov")
PO-0019	Mississippi River Gulf Outlet (MRGO) Disposal Area Marsh Protection	CWPPRA	3	USACE	MC	Constructed	PO	1993	479.524213131	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=PO-0019")	=HYPERLINK("https://www.google.com/search?q=Mississippi River Gulf Outlet (MRGO) Disposal Area Marsh Protection site%3Alacoast.gov")
TE-0022	Point Au Fer Canal Plugs	CWPPRA	2	NMFS	HR	Constructed	TE	1992	3402.93350031	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0022")	=HYPERLINK("https://www.google.com/search?q=Point Au Fer Canal Plugs site%3Alacoast.gov")
TV-0018	Four Mile Canal Terracing and Sediment Trapping	CWPPRA	9	NMFS	TE	Constructed	TV	1999	707.841640652	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0018")	=HYPERLINK("https://www.google.com/search?q=Four Mile Canal Terracing and Sediment Trapping site%3Alacoast.gov")
TV-0018	Four Mile Canal Terracing and Sediment Trapping	CWPPRA	9	NMFS	TE	Constructed	TV	1999	1561.6451156	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0018")	=HYPERLINK("https://www.google.com/search?q=Four Mile Canal Terracing and Sediment Trapping site%3Alacoast.gov")
MR-0001-B	Small Sediment Diversions	STATE	9999	CPRA	SD	Constructed	MR	1993	2049.20556052	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0001-B")	=HYPERLINK("https://www.google.com/search?q=Small Sediment Diversions site%3Alacoast.gov")
MR-0001-B	Small Sediment Diversions	STATE	9999	CPRA	SD	Constructed	MR	1993	543.306129188	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0001-B")	=HYPERLINK("https://www.google.com/search?q=Small Sediment Diversions site%3Alacoast.gov")
MR-0001-B	Small Sediment Diversions	STATE	9999	CPRA	SD	Constructed	MR	1993	141.243955112	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0001-B")	=HYPERLINK("https://www.google.com/search?q=Small Sediment Diversions site%3Alacoast.gov")
TE-0045	Terrebonne Bay Shore Protection Demonstration	CWPPRA	10	USFWS	SP	Constructed	TE	2000	3.1169080212	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0045")	=HYPERLINK("https://www.google.com/search?q=Terrebonne Bay Shore Protection Demonstration site%3Alacoast.gov")
MR-0026	Baptiste Collette Bar Channel	STATE	9999	CPRA	MC	Not Constructed	MR	1988	1015.90225575	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=MR-0026")	=HYPERLINK("https://www.google.com/search?q=Baptiste Collette Bar Channel site%3Alacoast.gov")
BA-0038	Barataria Barrier Island Complex: Pelican Island and Pass La Mer to Chaland Pass Restoration	CWPPRA	11	NMFS	BH	Constructed	BA	2001	613.696032425	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0038")	=HYPERLINK("https://www.google.com/search?q=Barataria Barrier Island Complex: Pelican Island and Pass La Mer to Chaland Pass Restoration site%3Alacoast.gov")
BA-0038	Barataria Barrier Island Complex: Pelican Island and Pass La Mer to Chaland Pass Restoration	CWPPRA	11	NMFS	BH	Constructed	BA	2001	661.643751113	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0038")	=HYPERLINK("https://www.google.com/search?q=Barataria Barrier Island Complex: Pelican Island and Pass La Mer to Chaland Pass Restoration site%3Alacoast.gov")
BA-0200	North Grand Isle Breakwaters	STATE	9999	CPRA	SP	Constructed	BA	1995	4.67765069635	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0200")	=HYPERLINK("https://www.google.com/search?q=North Grand Isle Breakwaters site%3Alacoast.gov")
